11.08.21 GC-MS Measurement;;;;Int.Std.: PCNB;5 ul of 10 ng/ul;;;Comments;signal double as expected - probabaly w/o n-hex dilution - repeat after add 0.5ml n-hex;;;;;;;
IE from 28.07.21, Derivatization of IE_1 to IE_8, C_Std_1/2/3 and PostBlk 10.08.21;;;;;;;;;Maybe Derivatization mistake (forgot 1st step - add. Of init. 0.5ml 1N HCl);;;;;;;
Method: PFAS_Li-Sun.m;;Integration by ;;;;;;;Samples repeated step by step with remaining analysis of IE;;;;;;;
Injection vol. 1ul;;ChemStation, Auto, RTE;;;;;;;;;Theor. Conc [ppm];;;;;
;;m/z 293;Int. Std.;;m/z 525;;;m/z 526;;;PFOA;;;;;
Run no.;Sample ID;RT;SIM_293;SIM_293_auto;RT;SIM_525;SIM_525_auto;RT;SIM_526;SIM_526_auto;in n-Hex;init. aq. Sol;;;;
1;IE_PFAS_17.08.21_14_Blk.0;15.863;;66842;10.802;;15880;;;;0;;;;;
2;IE_PFAS_17.08.21_14_Blk.1;15.861;257615;258956;10.811;;24957;;;;0;;;;;
3;IE_PFAS_17.08.21_1_C_Std_1.1;15.862;433475;433210;10.816;387228;387228;10.815;;58783;0.5;;151.8046216;;;
4;IE_PFAS_17.08.21_1_C_Std_1.2;15.864;618660;616216;10.818;369283;369283;10.818;;54144;0.5;;146.6192595;;;
5;IE_PFAS_17.08.21_2_C_Std_2.1;15.863;582537;579625;10.815;1914527;1914527;10.814;287527;287527;2.5;;150.181742;;;
6;IE_PFAS_17.08.21_2_C_Std_2.2;15.863;140113;141087;10.814;2044957;2039245;10.813;300311;301209;2.5;;147.7061363;;;
7;IE_PFAS_17.08.21_3_C_Std_3.1;15.864;586570;585610;10.812;4260749;4252537;10.812;637012;637012;7.5;;149.7957572;Computed Conc;;
8;IE_PFAS_17.08.21_3_C_Std_3.2;15.864;541864;541864;10.818;4619125;4610723;10.817;690732;690732;7.5;;149.8099105;n.hex [ppm];;
9;IE_PFAS_17.08.21_14_Blk.2;15.864;760465;758785;10.817;;105093;;;;0;;0;SIM_525;SIM_525_auto;
10;IE_PFAS_17.08.21_4_IE_6.1;15.861;415536;411565;10.819;2289482;2287282;10.819;347571;347571;;;151.9580882;3.737576283;3.638229272;
11;IE_PFAS_17.08.21_4_IE_6.2;15.862;252761;254359;10.819;2168216;2168216;10.819;324966;325270;;;150.0173414;3.539609702;3.434572669;
12;IE_PFAS_17.08.21_5_IE_7.1;15.863;647942;647086;10.816;2430899;2424455;10.817;368191;368191;;;151.8654708;3.968439346;3.872857018;
13;IE_PFAS_17.08.21_5_IE_7.2;15.863;616703;615079;10.815;2770487;2767769;10.815;410263;411032;;;148.5066131;4.522816299;4.46007892;
14;IE_PFAS_17.08.21_6_IE_25.1;15.862;323078;323078;10.816;238332;239617;10.816;;35258;;;147.1431493;0.389076669;0.135797866;
15;IE_PFAS_17.08.21_7_IE_26.1;15.864;659269;656531;10.818;;53381;;;;;;0;0;-0.182749756;
16;IE_PFAS_17.08.21_8_IE_27.1;15.862;273275;273275;10.815;2244300;2239511;10.815;337853;337853;;;150.8601655;3.663816729;3.5565193;
17;IE_PFAS_17.08.21_8_IE_27.2;15.865;192917;192917;10.821;1850022;1846720;10.821;272939;274660;;;148.7285566;3.020158425;2.884669395;
18;IE_PFAS_17.08.21_9_IE_28.1;15.867;912281;912281;10.844;2084957;2082174;10.801;81800;311155;;;149.437559;3.403689496;3.287402013;
19;IE_PFAS_17.08.21_9_IE_28.2;15.867;985562;985562;10.803;2181819;2181819;10.803;321609;321609;;;147.4040697;3.561816581;3.457839939;
20;IE_PFAS_17.08.21_14_Blk.3;15.866;817504;812153;10.821;;95715;;;;;;0;0;-0.110339507;
21;IE_PFAS_17.08.21_10_IE_29.1;15.866;332839;332839;10.825;155631;156682;10.824;;23900;;;152.5382622;0.254067398;-0.006058419;
22;IE_PFAS_17.08.21_11_IE_30.1;15.867;474556;474556;10.82;;31295;;;;;;0;0;-0.220526785;
23;IE_PFAS_17.08.21_12_IE_31.1;15.865;523655;523655;10.818;1905470;1899653;10.818;287476;287831;;;151.5176719;3.11067721;2.975208718;
24;IE_PFAS_17.08.21_12_IE_31.2;15.866;610927;609151;10.819;1871546;1871546;10.819;283997;284569;;;152.0502301;3.055296326;2.927133061;
25;IE_PFAS_17.08.21_13_IE_32.1;15.866;585725;585333;10.823;1597957;1597957;10.823;239411;239509;;;149.8845088;2.608662652;2.459172381;
26;IE_PFAS_17.08.21_13_IE_32.2;15.866;579331;579331;10.824;1863148;1860703;10.823;274244;275397;;;148.006963;3.041586602;2.908586637;
