29.06.21 GC-MS Measurement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PE_B from 22.06.21, C_Std and R_Std from 28.06.21;;;;;;;;;;;;;;;m/z = 150;;;;;;;;;;;;;;;;;;;;;;;;;
Method: PCE_T-Ramp_DHSI_SIM;;Integration by ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Injection vol. 50ul;;ChemStation;;;;;;;;;;;;;Deviation;;Area Ratio;;;;;;Measured Conc PCE [ppm];;Initial Conc;;;;;;;;;;;;;;;
;;m/z 95;;m/z 150;;m/z 152;;m/z 164;;;m/z 166;Area;;;from Mean [%];;SIM164/SIM166;;;;;Theoret. Conc.;Calibration;;in Aq. Phase;;;;;;;;;;;;;;;
16;PE_B_PCE_22.06_10.1;;;;;;;6.992;652544;652544;6.993;3536218;843627;843627;;;0.7735;;;;;;0.273494651;0.876945393;0.877192675;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Mean;0.83082301;0.831678347;;;;;;;;;;;;;;;
17;PE_B_PCE_22.06_11.1;;;;;;;6.992;1125912;1125912;6.993;6084736;1444733;1444733;;;0.7793;;;;;;0.361537718;1.491351066;1.492982717;;;;;;;;;;;;;;;
18;PE_B_PCE_22.06_11.2;;;;;;;6.992;1048799;1048799;6.993;5679734;1345965;1344737;;;0.7792;;;;;;0.347071322;1.390397791;1.390543977;;;;;;;;;;;;;;;
19;PE_B_PCE_22.06_12.1;;;;;;;6.992;1324168;1321507;6.994;7160990;1704700;1703300;;;0.7768;;;;;;0.399614684;1.757069924;1.757866089;;;;;;;;;;;;;;;
20;PE_B_PCE_22.06_12.2;;;;;;;6.993;1309651;1309651;6.994;7070285;1679541;1675108;;;0.7798;;;;;;0.395929684;1.731354272;1.728985404;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Mean;1.592543263;1.592594547;10;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;PE_B_PCE_R_Std_28.06_1.2;3.571;1387462;13.163;1431261;13.164;921314;6.993;2250518;2246042;6.994;12163577;2877610;2874258;-3.31114782;-4.279934264;0.7821;2.0105;2.0740;0.6437;0.9694;0.5;0.571409001;2.955930953;2.957428689;;;;;;;;;;;;;;;
Mean;;;;;;;;;2154168.5;;;;2759505;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;PE_B_PCE_R_Std_28.06_5.2;3.571;1494540;13.163;886496;13.164;565205;6.993;3960937;3952954;6.994;21408762;5055982;5045504;-4.387656534;-2.471484816;0.7834;5.7033;3.3830;0.6376;1.6859;0.75;0.890471784;5.182500167;5.1817147;;;;;;;;;;;;;;;
Mean;;;;;;;;;3847937;;;;4934038;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;PE_B_PCE_R_Std_28.06_2.2;3.572;1339990;13.162;1390488;13.163;905507;6.993;4458784;4451205;6.994;24212836;5740431;5726989;-11.82961713;-10.66171605;0.7767;4.1284;4.2839;0.6512;0.9637;1;0.990721973;5.882092832;5.87984727;;;;;;;;;;;;;;;
Mean;;;;;;;;;4056268.5;;;;5187368.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;PE_B_PCE_R_Std_28.06_3.2;3.572;1326315;13.163;2493405;13.164;1611750;6.993;12437719;12397213;6.994;67153597;15943987;15902613;1.956233042;0.943943974;0.7801;6.3945;12.0213;0.6464;0.5319;2.5;2.485221067;16.31140595;16.30404522;;;;;;;;;;;;;;;
Mean;;;;;;;;;12553159;;;;16095923.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;PE_B_PCE_C_Std_28.06_Blk.4;3.57;1424118;13.162;1536506;13.163;992276;0;0;0;0;0;0;0;6.403746957;;;0.0000;0.0000;0.6458;0.9269;;0.149929906;0.014652862;0.012957238;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
